1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
,Видеоряд в целом,,0.0802519984,0.108,0.086,0.077,0.056,0.06,0.068,0.098,0.065,0.103,0.08,0.077,0.065,,,0.09479553903,0.09586466165,0.0668202765,0.06775700935,0.09589041096,0.07,0.07,0.17,0.09,0.13,0.07,0.09,0.06,0.08,0.08,0.07,0.06,0.08,0.06,0.06,0.06,0.08,0.1,0.05,0.06,0.06,0.06,0.08,0.07,0.07,0.13,0.13,0.15,0.05,0.04,0.1,0.09,0.05,0.09,0.06,0.06,0.07,0.08,0.07,0.07,0.08,0.06,0.1,0.07,0.07,0.09,0.12,0.12
,Цветовая гамма,,0.06472216272,0.077,0.067,0.054,0.028,0.071,0.049,0.083,0.061,0.057,0.057,0.105,0.085,,,0.08364312268,0.09586466165,0.05760368664,0.06308411215,0.1050228311,0.06,0.05,0.05,0.07,0.08,0.06,0.07,0.03,0.07,0.07,0.02,0.04,0.09,0.05,0.03,0.04,0.04,0.1,0.04,0.04,0.04,0.05,0.13,0.06,0.03,0.07,0.06,0.05,0.04,0.09,0.03,0.12,0.07,0.09,0.11,0.06,0.06,0.06,0.14,0.06,0.06,0.1,0.07,0.04,0.04,0.11,0.04,0.04
,Текст / надписи,,0.04151549862,0.05,0.033,0.054,0.044,0.032,0.027,0.064,0.034,0.046,0.046,0.077,0.045,,,0.03717472119,0.04323308271,0.03686635945,0.02803738318,0.0296803653,0.04,0.03,0.06,0.03,0.04,0.03,0.05,0.02,0.04,0.04,0.02,0.02,0.04,0.06,0.03,0.04,0.04,0.03,0.03,0.02,0.04,0.03,0.03,0.05,0.05,0.03,0.11,0.03,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.05,0.02,0.06,0.1,0.04,0.08,0.07,0.06,0.04,0.04,0.05
,Фоновые звуки,,0.06504335602,0.124,0.115,0.092,0.04,0.028,0.076,0.095,0.142,0.042,0.08,0.044,0.041,,,0.0780669145,0.09586466165,0.05069124424,0.04205607477,0.04109589041,0.08,0.08,0.14,0.1,0.07,0.06,0.06,0.05,0.06,0.04,0.03,0.06,0.04,0.07,0.05,0.06,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.05,0.09,0.1,0.06,0.06,0.03,0.05,0.06,0.07,0.03,0.04,0.06,0.04,0.07,0.06,0.04,0.08,0.09,0.06,0.07,0.07,0.07,0.08,0.09,0.06
,Главные герои / Персонажи,,0.07637646325,0.108,0.052,0.062,0.048,0.012,0.061,0.133,0.065,0.069,0.011,0.016,0.041,,,0.07249070632,0.09398496241,0.05529953917,0.06074766355,0.1255707763,0.11,0.11,0.11,0.09,0.13,0.16,0.06,0.05,0.09,0.09,0.04,0.07,0.03,0.07,0.06,0.06,0.05,0.11,0.06,0.06,0.08,0.07,0.12,0.05,0.07,0.2,0.19,0.14,0.09,0.08,0.1,0.14,0.02,0.08,0.13,0.09,0.02,0.02,0.03,0.03,0.06,0.05,0.06,0.05,0.07,0.09,0.1,0.07
,Сюжет,,0.1158333333,,,,,,,,,,,,,,,,,,,,0.13,0.14,0.17,0.14,0.17,0.17,0.14,0.09,0.15,0.18,0.09,0.1,0.08,0.11,0.08,0.1,0.09,0.1,0.08,0.11,0.1,0.12,0.13,0.1,0.12,0.23,0.14,0.19,0.07,0.08,0.11,0.12,0.09,0.07,0.09,0.08,0.06,0.08,0.08,0.09,0.1,0.1,0.16,0.11,0.09,0.15,0.14,0.14
,Не понял(а) смысл,,0.05010852137,0.151,0.13,0.115,0.075,0.063,0.03,0.114,0.119,0.034,0.057,0.077,0.122,,,0.06505576208,0.08834586466,0.03917050691,0.06074766355,0.07762557078,0.07,0.04,0.08,0.04,0.07,0.04,0.09,0.04,0.07,0.05,0.06,0.05,0.08,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.05,0.04,0.02,0.07,0.05,0.05,0.02,0.03,0.01,0.03,0.03,0.03,0.01,0.02,0.01,0,0.01,0.01,0.01,0.03,0.04,0.05,0.05,0.01,0.05,0.04,0.08,0.07
,Не актуально для меня,,0.1248380811,0.108,0.112,0.119,0.111,0.187,0.102,0.182,0.115,0.13,0.134,0.141,0.154,,,0.1356877323,0.1146616541,0.1866359447,0.1635514019,0.1621004566,0.13,0.11,0.17,0.15,0.14,0.16,0.14,0.12,0.14,0.15,0.11,0.17,0.08,0.13,0.1,0.12,0.08,0.1,0.14,0.1,0.12,0.12,0.08,0.15,0.14,0.13,0.17,0.15,0.11,0.11,0.08,0.1,0.12,0.11,0.07,0.07,0.1,0.08,0.07,0.11,0.13,0.09,0.1,0.13,0.12,0.16,0.15,0.13
,Всё понравилось,,0.5626655175,0.475,0.439,0.515,0.683,0.575,0.602,0.439,0.525,0.645,0.563,0.585,0.585,,,0.5817843866,0.5319548872,0.6105990783,0.6191588785,0.5410958904,0.51,0.58,0.38,0.51,0.43,0.54,0.49,0.62,0.5,0.51,0.62,0.58,0.68,0.55,0.64,0.59,0.56,0.55,0.65,0.64,0.59,0.54,0.56,0.55,0.51,0.43,0.49,0.48,0.61,0.54,0.57,0.52,0.63,0.59,0.6,0.64,0.61,0.65,0.65,0.59,0.53,0.6,0.55,0.62,0.59,0.56,0.53,0.51
Что понравилось,Музыка,Что вам понравилось в этом ролике?,0.3599653399,0.444,0.39,0.454,0.579,0.385,0.379,0.352,0.395,0.427,0.41,0.375,0.443,,,0.3773234201,0.3477443609,0.4101382488,0.4626168224,0.4109589041,0.29,0.29,0.31,0.34,0.3,0.38,0.37,0.36,0.34,0.36,0.41,0.37,0.38,0.31,0.36,0.34,0.35,0.35,0.32,0.37,0.37,0.34,0.34,0.25,0.35,0.29,0.52,0.5,0.3,0.3,0.26,0.23,0.3,0.26,0.32,0.33,0.31,0.32,0.23,0.45,0.37,0.38,0.48,0.42,0.42,0.29,0.4,0.21
,Голос за кадром / диктор,,0.3564174909,0.255,0.193,0.269,0.369,0.516,0.439,0.235,0.272,0.496,0.475,0.472,0.451,,,0.3587360595,0.3364661654,0.4055299539,0.3808411215,0.3721461187,0.29,0.28,0.3,0.33,0.35,0.31,0.37,0.32,0.37,0.31,0.36,0.37,0.42,0.26,0.33,0.35,0.33,0.33,0.32,0.3,0.36,0.36,0.25,0.36,0.31,0.31,0.31,0.19,0.36,0.35,0.35,0.32,0.47,0.43,0.35,0.38,0.34,0.45,0.41,0.47,0.4,0.4,0.4,0.44,0.41,0.28,0.33,0.38
,Видеоряд в целом,,0.4002874145,0.405,0.364,0.4,0.556,0.401,0.496,0.386,0.448,0.515,0.494,0.415,0.455,,,0.4776951673,0.4793233083,0.4216589862,0.4556074766,0.404109589,0.36,0.41,0.3,0.37,0.3,0.37,0.35,0.37,0.31,0.31,0.35,0.41,0.49,0.41,0.41,0.4,0.48,0.4,0.43,0.41,0.46,0.45,0.39,0.39,0.35,0.27,0.42,0.33,0.39,0.38,0.36,0.3,0.4,0.36,0.36,0.36,0.36,0.41,0.39,0.46,0.42,0.42,0.42,0.43,0.41,0.39,0.38,0.35
,Цветовая гамма,,0.3995702739,0.514,0.361,0.515,0.373,0.587,0.402,0.307,0.395,0.401,0.464,0.488,0.455,,,0.5,0.5018796992,0.465437788,0.6144859813,0.3926940639,0.25,0.37,0.35,0.36,0.29,0.37,0.37,0.37,0.33,0.4,0.43,0.42,0.45,0.38,0.46,0.36,0.49,0.47,0.43,0.48,0.35,0.41,0.3,0.31,0.37,0.34,0.39,0.44,0.37,0.39,0.4,0.28,0.47,0.3,0.37,0.37,0.36,0.38,0.35,0.4,0.51,0.39,0.48,0.45,0.42,0.31,0.31,0.3
,Текст / надписи,,0.2081208377,0.266,0.23,0.235,0.25,0.298,0.288,0.197,0.238,0.351,0.264,0.25,0.297,,,0.2063197026,0.2368421053,0.1889400922,0.1518691589,0.2077625571,0.16,0.15,0.19,0.15,0.17,0.17,0.17,0.15,0.14,0.17,0.16,0.19,0.26,0.14,0.16,0.2,0.23,0.14,0.15,0.17,0.18,0.19,0.16,0.21,0.18,0.14,0.2,0.17,0.23,0.23,0.23,0.16,0.26,0.24,0.26,0.26,0.28,0.35,0.27,0.2,0.21,0.23,0.23,0.26,0.17,0.15,0.18,0.18
,Фоновые звуки,,0.2452864504,0.255,0.201,0.285,0.413,0.325,0.341,0.254,0.272,0.347,0.284,0.294,0.289,,,0.2360594796,0.2612781955,0.2718894009,0.3738317757,0.2602739726,0.22,0.22,0.19,0.24,0.22,0.21,0.2,0.24,0.21,0.23,0.28,0.24,0.26,0.22,0.25,0.23,0.25,0.23,0.22,0.22,0.28,0.26,0.27,0.2,0.2,0.16,0.2,0.21,0.2,0.22,0.19,0.18,0.24,0.22,0.22,0.25,0.18,0.26,0.23,0.3,0.25,0.29,0.28,0.25,0.24,0.21,0.25,0.17
,Главные герои / Персонажи,,0.2914983075,0.363,0.606,0.4,0.611,0.067,0.231,0.352,0.487,0.29,0.126,0.109,0.159,,,0.2416356877,0.2556390977,0.2281105991,0.3317757009,0.3607305936,0.26,0.33,0.2,0.22,0.2,0.27,0.24,0.26,0.17,0.24,0.25,0.28,0.13,0.33,0.39,0.36,0.36,0.39,0.4,0.4,0.3,0.3,0.48,0.25,0.28,0.29,0.23,0.39,0.38,0.43,0.33,0.25,0.14,0.19,0.38,0.41,0.09,0.15,0.11,0.28,0.25,0.36,0.33,0.31,0.24,0.41,0.31,0.25
,Сюжет,,0.42125,,,,,,,,,,,,,,,,,,,,0.45,0.45,0.32,0.44,0.34,0.47,0.39,0.52,0.38,0.38,0.39,0.46,0.4,0.45,0.51,0.46,0.51,0.43,0.53,0.49,0.47,0.44,0.54,0.42,0.37,0.35,0.42,0.32,0.38,0.39,0.38,0.31,0.4,0.47,0.42,0.4,0.36,0.38,0.36,0.41,0.35,0.56,0.38,0.48,0.42,0.49,0.42,0.36
,Актуально для меня,,0.2132328005,0.178,0.167,0.142,0.282,0.187,0.258,0.246,0.184,0.298,0.195,0.185,0.252,,,0.2360594796,0.2293233083,0.1543778802,0.1518691589,0.1392694064,0.2,0.19,0.15,0.16,0.14,0.18,0.17,0.18,0.15,0.17,0.19,0.21,0.24,0.19,0.19,0.24,0.21,0.18,0.23,0.2,0.22,0.22,0.17,0.25,0.19,0.11,0.13,0.14,0.28,0.24,0.3,0.27,0.25,0.33,0.32,0.3,0.27,0.32,0.32,0.2,0.2,0.3,0.19,0.25,0.28,0.15,0.2,0.17
,Ничего НЕ понравилось,,0.1065956896,0.158,0.074,0.088,0.067,0.115,0.095,0.178,0.084,0.069,0.057,0.105,0.126,,,0.1059479554,0.1334586466,0.1313364055,0.07009345794,0.1232876712,0.14,0.11,0.2,0.14,0.17,0.16,0.13,0.1,0.14,0.14,0.1,0.12,0.06,0.09,0.05,0.1,0.07,0.11,0.08,0.09,0.1,0.1,0.1,0.13,0.13,0.17,0.16,0.12,0.09,0.08,0.08,0.11,0.07,0.08,0.08,0.06,0.13,0.09,0.07,0.11,0.11,0.08,0.07,0.08,0.1,0.14,0.13,0.13
Понятность идеи (топ-1),,Насколько ролик понятен и прост для понимания? (от 1 до 5),0.6322579105,0.525,0.532,0.554,0.69,0.583,0.602,0.553,0.648,0.641,0.609,0.573,0.602,,,0.592936803,0.5488721805,0.6451612903,0.6074766355,0.5730593607,0.61,0.65,0.47,0.59,0.57,0.61,0.52,0.62,0.55,0.6,0.64,0.63,0.65,0.86,0.89,0.69,0.71,0.65,0.73,0.69,0.63,0.61,0.73,0.58,0.55,0.51,0.68,0.71,0.63,0.61,0.62,0.6,0.63,0.71,0.68,0.67,0.66,0.71,0.72,0.65,0.61,0.71,0.65,0.78,0.62,0.64,0.55,0.53
Актуальность (топ-2),,"Насколько то, что рассказывается в этой рекламе, актуально и близко для вас? (от 1 до 5)",0.6664027678,0.634,0.606,0.719,0.69,0.611,0.769,0.607,0.667,0.748,0.744,0.553,0.593,0.63,0.66,0.6542750929,0.6127819549,0.5529953917,0.6682242991,0.6073059361,0.57,0.69,0.53,0.59,0.55,0.6,0.62,0.66,0.57,0.57,0.67,0.65,0.78,0.66,0.67,0.69,0.66,0.69,0.69,0.71,0.66,0.66,0.74,0.6,0.57,0.5,0.56,0.55,0.77,0.76,0.68,0.75,0.72,0.8,0.83,0.87,0.79,0.8,0.85,0.68,0.66,0.72,0.72,0.68,0.67,0.62,0.64,0.62
Уникальность (топ-2),,"Насколько эта реклама отличается от другой рекламы, которую вы видите по ТВ и в интернете? (от 1 до 5)",0.6089181249,0.652,0.613,0.677,0.699,0.571,0.61,0.572,0.625,0.618,0.652,0.605,0.626,0.5,0.58,0.6226765799,0.6184210526,0.5529953917,0.6308411215,0.5456621005,0.61,0.66,0.51,0.54,0.47,0.6,0.51,0.63,0.55,0.55,0.57,0.53,0.66,0.63,0.64,0.68,0.73,0.68,0.69,0.71,0.64,0.61,0.56,0.6,0.57,0.54,0.65,0.56,0.66,0.61,0.6,0.58,0.53,0.62,0.66,0.7,0.6,0.64,0.66,0.61,0.6,0.71,0.62,0.61,0.62,0.55,0.59,0.62
Узнаваемость бренда в ролике (топ-2),,"""Я бы понял(а), что этот ролик про ХХХ, даже если бы это название не упоминали в ролике"" (от 1 до 7)",0.4745601536,0.447,0.465,0.508,0.357,0.365,0.549,0.466,0.509,0.561,0.548,0.339,0.305,,,0.4814126394,0.469924812,0.4631336406,0.441588785,0.4337899543,0.5,0.52,0.45,0.5,0.43,0.5,0.42,0.43,0.42,0.45,0.51,0.46,0.64,0.5,0.51,0.52,0.52,0.47,0.51,0.52,0.57,0.53,0.54,0.38,0.38,0.33,0.47,0.49,0.46,0.42,0.46,0.52,0.39,0.51,0.57,0.57,0.48,0.53,0.58,0.46,0.47,0.48,0.52,0.52,0.29,0.35,0.56,0.5
Какая из этих фраз лучше всего характеризует эту рекламу?,"Невозможно забыть, что рекламируется именно ХХХ",Какая из этих фраз лучше всего характеризует эту рекламу?,0.2233566242,0.255,0.245,0.219,0.21,0.171,0.254,0.189,0.192,0.229,0.215,0.194,0.199,,,0.2267657993,0.1917293233,0.1958525346,0.1962616822,0.1872146119,0.22,0.22,0.21,0.2,0.21,0.22,0.2,0.18,0.2,0.2,0.22,0.18,0.28,0.21,0.2,0.24,0.23,0.21,0.22,0.29,0.24,0.21,0.26,0.2,0.2,0.17,0.28,0.36,0.21,0.2,0.2,0.25,0.18,0.22,0.25,0.29,0.24,0.27,0.32,0.25,0.26,0.26,0.25,0.25,0.13,0.17,0.28,0.24
,"Ролик достаточно хорошо помогает запомнить, что рекламируется именно ХХХ",,0.4973250726,0.409,0.442,0.504,0.44,0.504,0.549,0.413,0.54,0.508,0.54,0.423,0.496,,,0.5371747212,0.5056390977,0.4746543779,0.5023364486,0.5,0.45,0.51,0.42,0.5,0.42,0.48,0.46,0.51,0.46,0.47,0.47,0.5,0.51,0.53,0.55,0.52,0.57,0.53,0.54,0.5,0.53,0.5,0.49,0.46,0.5,0.46,0.43,0.49,0.49,0.52,0.53,0.51,0.54,0.55,0.51,0.53,0.51,0.48,0.47,0.55,0.51,0.58,0.52,0.61,0.46,0.42,0.46,0.44
,"Ролик недостаточно хорошо помогает запомнить, что рекламируется именно ХХХ",,0.09899890488,0.162,0.097,0.108,0.155,0.099,0.08,0.148,0.092,0.08,0.1,0.161,0.093,,,0.08550185874,0.1127819549,0.1059907834,0.07710280374,0.1415525114,0.11,0.1,0.14,0.06,0.12,0.08,0.1,0.09,0.12,0.07,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.07,0.06,0.09,0.07,0.12,0.1,0.11,0.09,0.05,0.16,0.08,0.1,0.13,0.13,0.1,0.09,0.09,0.08,0.1,0.1,0.08,0.1,0.05,0.11,0.05,0.13,0.18,0.08,0.1
,Это может быть реклама любых сервисов бренда,,0.1090510371,0.089,0.1,0.1,0.079,0.147,0.133,0.117,0.088,0.149,0.107,0.085,0.069,,,0.07620817844,0.1071428571,0.1359447005,0.1355140187,0.100456621,0.15,0.1,0.12,0.15,0.16,0.14,0.16,0.13,0.13,0.15,0.13,0.12,0.1,0.11,0.09,0.09,0.09,0.11,0.09,0.11,0.12,0.14,0.13,0.12,0.12,0.13,0.11,0.06,0.07,0.14,0.09,0.06,0.12,0.1,0.09,0.06,0.1,0.09,0.07,0.07,0.09,0.06,0.06,0.06,0.24,0.09,0.11,0.12
,Это может быть реклама чего угодно,,0.07248711118,0.085,0.115,0.069,0.115,0.079,0.045,0.133,0.088,0.034,0.038,0.137,0.142,,,0.07434944238,0.08270676692,0.08755760369,0.08878504673,0.07077625571,0.07,0.07,0.1,0.08,0.09,0.07,0.09,0.09,0.1,0.1,0.07,0.1,0.02,0.06,0.08,0.07,0.04,0.07,0.06,0.04,0.06,0.07,0.05,0.1,0.08,0.12,0.09,0.04,0.06,0.06,0.08,0.06,0.03,0.03,0.06,0.03,0.06,0.05,0.04,0.06,0.05,0.05,0.06,0.03,0.04,0.15,0.07,0.09
Соответствует представлению о бренде (топ-2),,Насколько такая реклама соответствует вашему представлению об этом бренде? (от 1 до 5),0.6867441752,0.625,0.598,0.712,0.623,0.607,0.738,0.606,0.666,0.729,0.731,0.577,0.578,,,0.7137546468,0.6616541353,0.6428571429,0.6682242991,0.6301369863,0.68,0.73,0.59,0.67,0.6,0.69,0.59,0.66,0.64,0.61,0.71,0.68,0.8,0.71,0.74,0.72,0.77,0.7,0.74,0.77,0.73,0.72,0.75,0.6,0.59,0.49,0.61,0.67,0.71,0.71,0.72,0.71,0.73,0.74,0.73,0.78,0.73,0.75,0.78,0.75,0.73,0.79,0.71,0.82,0.61,0.61,0.71,0.69
Отношение к бренду после ролика улучшилось (топ-2),,Как изменилось ваше отношение к ХХХ после просмотра этого ролика?,0.5581499326,0.556,0.506,0.634,0.599,0.498,0.656,0.527,0.587,0.649,0.655,0.521,0.549,,,0.6078066914,0.5620300752,0.4953917051,0.5630841121,0.502283105,0.52,0.61,0.46,0.49,0.4,0.5,0.48,0.57,0.45,0.49,0.51,0.52,0.63,0.6,0.59,0.65,0.6,0.57,0.6,0.64,0.6,0.55,0.45,0.55,0.52,0.4,0.48,0.51,0.59,0.56,0.55,0.52,0.52,0.65,0.58,0.65,0.59,0.64,0.64,0.62,0.55,0.65,0.61,0.6,0.55,0.53,0.55,0.52
